Date,Temperature Average
2019-06-19,294.5
2019-06-19,233.5
2019-06-19,300.0
2019-06-19,236.0
2019-06-19,244.5
2019-06-19,255.5
2019-06-19,305.5
2019-06-19,261.0
2019-06-19,269.5
2019-06-19,255.5
2019-06-19,278.0
2019-06-19,233.5
2019-06-19,283.5
2019-06-19,236.0
2019-06-19,205.5
2019-06-19,230.5
2019-06-19,186.0
2019-06-19,247.5
2019-06-19,203.0
2019-06-19,294.5
2019-06-19,244.5
2019-06-19,241.5
2019-06-19,233.5
2019-06-19,289.0
2019-06-19,241.5
2019-06-19,236.0
2019-06-19,239.0
2019-06-19,250.0
2019-06-19,230.5
2019-06-19,247.5
2019-06-19,255.5
2019-06-19,253.0
2019-06-19,297.5
2019-06-19,278.0
2019-06-19,200.0
2019-06-19,250.0
2019-06-19,269.5
2019-06-19,289.0
2019-06-19,255.5
2019-06-19,289.0
2019-06-19,211.0
2019-06-19,230.5
2019-06-19,291.5
2019-06-19,339.0
2019-06-19,269.5
2019-06-19,255.5
2019-06-19,261.0
2019-06-19,225.0
2019-06-19,286.0
2019-06-19,253.0
2019-06-19,230.5
2019-06-19,278.0
2019-06-19,250.0
2019-06-19,272.5
2019-06-19,294.5
2019-06-19,228.0
2019-06-19,205.5
2019-06-19,272.5
2019-06-19,175.0
2019-06-19,219.5
2019-06-19,289.0
2019-06-19,289.0
2019-06-19,269.5
2019-06-19,244.5
2019-06-19,255.5
2019-06-19,214.0
2019-06-19,266.5
2019-06-19,214.0
2019-06-19,261.0
2019-06-19,189.0
2019-06-19,278.0
2019-06-19,275.0
2019-06-19,266.5
2019-06-19,283.5
2019-06-19,208.5
2019-06-19,180.5
2019-06-19,258.5
2019-06-19,230.5
2019-06-19,283.5
2019-06-19,250.0
2019-06-19,203.0
2019-06-19,236.0
2019-06-19,278.0
2019-06-19,289.0
2019-06-19,297.5
2019-06-19,233.5
2019-06-19,236.0
2019-06-19,269.5
2019-06-19,280.5
2019-06-19,225.0
2019-06-19,222.5
2019-06-19,278.0
2019-06-19,236.0
2019-06-19,291.5
2019-06-19,239.0
2019-06-19,233.5
2019-06-19,289.0
2019-06-19,280.5
2019-06-19,250.0
2019-06-19,214.0
2019-06-19,211.0
2019-06-19,200.0
2019-06-19,247.5
2019-06-19,283.5
2019-06-19,219.5
2019-06-19,289.0
2019-06-19,250.0
2019-06-19,255.5
2019-06-19,294.5
2019-06-19,278.0
2019-06-19,244.5
2019-06-19,189.0
2019-06-19,250.0
2019-06-19,244.5
2019-06-19,236.0
2019-06-19,239.0
2019-06-19,225.0
2019-06-19,228.0
2019-06-19,258.5
2019-06-19,214.0
2019-06-19,275.0
2019-06-19,289.0
2019-06-19,289.0
2019-06-19,197.5
2019-06-19,258.5
2019-06-19,200.0
2019-06-19,194.5
2019-06-19,297.5
2019-06-19,214.0
2019-06-19,297.5
2019-06-19,297.5
2019-06-19,211.0
2019-06-19,266.5
2019-06-19,278.0
2019-06-19,230.5
2019-06-19,278.0
2019-06-19,289.0
2019-06-19,219.5
2019-06-19,250.0
2019-06-19,278.0
2019-06-19,208.5
2019-06-19,280.5
2019-06-19,253.0
2019-06-19,286.0
2019-06-19,258.5
2019-06-19,211.0
2019-06-19,278.0
2019-06-19,214.0
2019-06-19,197.5
2019-06-19,253.0
2019-06-19,200.0
2019-06-19,169.5
2019-06-19,255.5
2019-06-19,214.0
2019-06-19,233.5
2019-06-19,200.0
2019-06-19,197.5
2019-06-19,214.0
2019-06-19,189.0
2019-06-19,278.0
2019-06-19,280.5
2019-06-19,247.5
2019-06-19,241.5
2019-06-19,230.5
2019-06-19,272.5
2019-06-19,233.5
2019-06-19,291.5
2019-06-19,247.5
2019-06-19,255.5
2019-06-19,258.5
2019-06-19,214.0
2019-06-19,211.0
2019-06-19,239.0
2019-06-19,275.0
2019-06-19,278.0
2019-06-19,289.0
2019-06-19,283.5
2019-06-19,297.5
2019-06-19,241.5
2019-06-19,236.0
2019-06-19,261.0
2019-06-19,291.5
2019-06-19,214.0
2019-06-19,208.5
2019-06-19,239.0
2019-06-19,241.5
2019-06-19,278.0
2019-06-19,247.5
2019-06-19,272.5
2019-06-19,208.5
2019-06-19,283.5
2019-06-19,197.5
2019-06-19,283.5
2019-06-19,269.5
2019-06-19,261.0
2019-06-19,289.0
2019-06-19,286.0
2019-06-19,244.5
2019-06-19,236.0
2019-06-19,264.0
2019-06-19,272.5
2019-06-19,269.5
2019-06-19,258.5
2019-06-19,272.5
2019-06-19,247.5
2019-06-19,250.0
2019-06-19,228.0
2019-06-19,230.5
2019-06-19,244.5
2019-06-19,241.5
2019-06-19,258.5
2019-06-19,244.5
2019-06-19,250.0
2019-06-19,244.5
2019-06-19,214.0
2019-06-19,261.0
2019-06-19,219.5
2019-06-19,278.0
2019-06-19,211.0
2019-06-19,264.0
2019-06-19,239.0
2019-06-19,233.5
2019-06-19,269.5
2019-06-19,233.5
2019-06-19,230.5
2019-06-19,222.5
2019-06-19,225.0
2019-06-19,219.5
2019-06-19,278.0
2019-06-19,236.0
2019-06-19,228.0
2019-06-19,247.5
2019-06-19,236.0
2019-06-19,236.0
2019-06-19,241.5
2019-06-19,214.0
2019-06-19,208.5
2019-06-19,222.5
2019-06-19,289.0
2019-06-19,189.0
2019-06-19,247.5
2019-06-19,233.5
2019-06-19,291.5
2019-06-19,236.0
2019-06-19,294.5
2019-06-19,253.0
2019-06-19,241.5
2019-06-19,275.0
2019-06-19,205.5
2019-06-19,272.5
2019-06-19,247.5
2019-06-19,247.5
2019-06-19,241.5
2019-06-19,250.0
2019-06-19,239.0
2019-06-19,222.5
2019-06-19,241.5
2019-06-19,225.0
2019-06-19,266.5
2019-06-19,208.5
2019-06-19,236.0
2019-06-19,203.0
2019-06-19,205.5
2019-06-19,269.5
2019-06-19,203.0
2019-06-19,222.5
2019-06-19,225.0
2019-06-19,294.5
2019-06-19,241.5
2019-06-19,255.5
2019-06-19,214.0
2019-06-19,255.5
2019-06-19,233.5
2019-06-19,222.5
2019-06-19,264.0
2019-06-19,275.0
2019-06-19,230.5
2019-06-19,241.5
2019-06-19,255.5
2019-06-19,211.0
2019-06-19,239.0
2019-06-19,253.0
2019-06-19,233.5
2019-06-19,275.0
2019-06-19,228.0
2019-06-19,247.5
2019-06-19,286.0
2019-06-19,291.5
2019-06-19,233.5
2019-06-19,250.0
2019-06-19,278.0
2019-06-19,225.0
2019-06-19,291.5
2019-06-19,275.0
2019-06-19,241.5
2019-06-19,283.5
2019-06-19,233.5
2019-06-19,239.0
2019-06-19,225.0
2019-06-19,225.0
2019-06-19,225.0
2019-06-19,269.5
2019-06-19,236.0
2019-06-19,216.5
2019-06-19,266.5
2019-06-19,230.5
2019-06-19,244.5
2019-06-19,230.5
2019-06-19,233.5
2019-06-19,247.5
2019-06-19,211.0
2019-06-19,241.5
2019-06-19,239.0
2019-06-19,261.0
2019-06-19,258.5
2019-06-19,283.5
2019-06-19,225.0
2019-06-19,255.5
2019-06-19,250.0
2019-06-19,253.0
2019-06-19,228.0
2019-06-19,225.0
2019-06-19,230.5
2019-06-19,228.0
2019-06-19,278.0
2019-06-19,264.0
2019-06-19,275.0
2019-06-19,258.5
2019-06-19,230.5
2019-06-19,219.5
2019-06-19,278.0
2019-06-19,272.5
2019-06-19,255.5
2019-06-19,253.0
2019-06-19,269.5
2019-06-19,219.5
2019-06-19,200.0
2019-06-19,239.0
2019-06-19,253.0
2019-06-19,286.0
2019-06-19,228.0
2019-06-19,241.5
2019-06-19,258.5
2019-06-19,233.5
2019-06-19,241.5
2019-06-19,236.0
2019-06-19,241.5
2019-06-19,203.0
2019-06-19,236.0
2019-06-19,233.5
2019-06-19,239.0
2019-06-19,283.5
2019-06-19,228.0
2019-06-19,241.5
2019-06-19,233.5
2019-06-19,272.5
2019-06-19,253.0
2019-06-19,189.0
2019-06-19,225.0
2019-06-19,247.5
2019-06-19,239.0
2019-06-19,233.5
2019-06-19,264.0
2019-06-19,258.5
2019-06-19,272.5
2019-06-19,255.5
2019-06-19,258.5
2019-06-19,264.0
2019-06-19,241.5
2019-06-19,191.5
2019-06-19,258.5
2019-06-19,197.5
2019-06-19,283.5
2019-06-19,239.0
2019-06-19,275.0
2019-06-19,280.5
2019-06-19,278.0
2019-06-19,258.5
2019-06-19,225.0
2019-06-19,233.5
2019-06-19,244.5
2019-06-19,241.5
2019-06-19,266.5
2019-06-19,216.5
2019-06-19,272.5
2019-06-19,272.5
2019-06-19,239.0
2019-06-19,228.0
2019-06-19,258.5
2019-06-19,222.5
2019-06-19,236.0
2019-06-19,269.5
2019-06-19,233.5
2019-06-19,241.5
2019-06-19,269.5
2019-06-19,291.5
2019-06-19,297.5
2019-06-19,236.0
2019-06-19,247.5
2019-06-19,233.5
2019-06-19,233.5
2019-06-19,236.0
2019-06-19,225.0
2019-06-19,264.0
2019-06-19,280.5
2019-06-19,289.0
2019-06-19,236.0
2019-06-19,269.5
2019-06-19,180.5
2019-06-19,191.5
2019-06-19,275.0
2019-06-19,219.5
2019-06-19,264.0
2019-06-19,250.0
2019-06-19,233.5
2019-06-19,197.5
2019-06-19,250.0
2019-06-19,275.0
2019-06-19,216.5
2019-06-19,211.0
2019-06-19,272.5
2019-06-19,236.0
2019-06-19,253.0
2019-06-19,275.0
2019-06-19,275.0
2019-06-19,294.5
2019-06-19,169.5
2019-06-19,219.5
2019-06-19,200.0
2019-06-19,230.5
2019-06-19,283.5
2019-06-19,261.0
2019-06-19,203.0
2019-06-19,225.0
2019-06-19,236.0
2019-06-19,291.5
2019-06-19,225.0
2019-06-19,203.0
2019-06-19,228.0
2019-06-19,253.0
2019-06-19,283.5
2019-06-19,253.0
2019-06-19,253.0
2019-06-19,230.5
2019-06-19,225.0
2019-06-19,275.0
2019-06-19,191.5
2019-06-19,253.0
2019-06-19,261.0
2019-06-19,225.0
2019-06-19,239.0
2019-06-19,228.0
2019-06-19,241.5
2019-06-19,236.0
2019-06-19,272.5
2019-06-19,258.5
2019-06-19,247.5
2019-06-19,219.5
2019-06-19,225.0
2019-06-19,211.0
2019-06-19,255.5
2019-06-19,266.5
2019-06-19,250.0
2019-06-19,209.5
2019-06-19,192.5
2019-06-19,209.0
2019-06-19,195.5
2019-06-19,213.5
2019-06-19,195.5
2019-06-19,203.0
2019-06-19,190.5
2019-06-19,194.0
2019-06-19,180.5
2019-06-19,229.5
2019-06-19,209.0
2019-06-19,197.5
2019-06-19,187.5
2019-06-19,199.0
2019-06-19,198.0
2019-06-19,189.5
2019-06-19,205.5
2019-06-19,214.0
2019-06-19,197.5
2019-06-19,186.5
2019-06-19,203.0
2019-06-19,219.5
2019-06-19,203.5
2019-06-19,187.5
2019-06-19,224.0
2019-06-19,210.5
2019-06-19,212.0
2019-06-19,182.0
2019-06-19,211.5
2019-06-19,201.0
2019-06-19,201.0
2019-06-19,216.5
2019-06-19,258.5
2019-06-19,300.0
2019-06-19,208.5
2019-06-19,208.5
2019-06-19,300.0
2019-06-19,289.0
2019-06-19,241.5
2019-06-19,228.0
2019-06-19,208.5
2019-06-19,247.5
2019-06-19,200.0
2019-06-19,211.0
2019-06-19,250.0
2019-06-19,279.5
2019-06-19,289.0
2019-06-19,241.5
2019-06-19,225.0
2019-06-19,241.5
2019-06-19,205.5
2019-06-19,233.5
2019-06-19,291.5
2019-06-19,280.5
2019-06-19,297.5
2019-06-19,300.0
2019-06-19,205.5
2019-06-19,305.5
2019-06-19,286.0
2019-06-19,244.5
2019-06-19,200.0
2019-06-19,197.5
2019-06-19,189.0
2019-06-19,291.5
2019-06-19,208.5
2019-06-19,225.0
2019-06-19,203.0
2019-06-19,261.0
2019-06-19,208.5
2019-06-19,208.5
2019-06-19,266.5
2019-06-19,203.0
2019-06-19,219.5
2019-06-19,239.0
2019-06-19,272.5
2019-06-19,269.5
2019-06-19,197.5
2019-06-19,269.5
2019-06-19,186.0
2019-06-19,211.0
2019-06-19,269.5
2019-06-19,197.5
2019-06-19,244.5
2019-06-19,225.0
2019-06-19,178.0
2019-06-19,236.0
2019-06-19,297.5
2019-06-19,294.5
2019-06-19,241.5
2019-06-19,191.5
2019-06-19,172.5
2019-06-19,291.5
2019-06-19,236.0
2019-06-19,211.0
2019-06-19,328.5
2019-06-19,214.5
2019-06-19,226.5
2019-06-19,192.5
2019-06-19,239.0
2019-06-19,303.0
2019-06-19,200.0
2019-06-19,200.0
2019-06-19,203.0
2019-06-19,225.0
2019-06-19,297.5
2019-06-19,214.0
2019-06-19,289.0
2019-06-19,203.0
2019-06-19,278.0
2019-06-19,203.0
2019-06-19,236.0
2019-06-19,278.0
2019-06-19,272.5
2019-06-19,214.0
2019-06-19,211.0
2019-06-19,230.5
2019-06-19,275.0
2019-06-19,280.5
2019-06-19,273.5
2019-06-19,176.5
2019-06-19,241.5
2019-06-20,292.0
2019-06-20,208.5
2019-06-20,222.5
2019-06-20,228.0
2019-06-20,233.5
2019-06-20,275.0
2019-06-20,269.5
2019-06-20,244.5
2019-06-20,280.5
2019-06-20,233.5
2019-06-20,289.0
2019-06-20,217.0
2019-06-20,186.0
2019-06-20,208.5
2019-06-20,175.0
2019-06-20,233.5
2019-06-20,283.5
2019-06-20,230.5
2019-06-20,230.5
2019-06-20,200.0
2019-06-20,267.0
2019-06-20,233.5
2019-06-20,225.0
2019-06-20,222.5
2019-06-20,239.0
2019-06-20,222.5
2019-06-20,230.5
2019-06-20,250.0
2019-06-20,242.0
2019-06-20,275.0
2019-06-20,192.0
2019-06-20,233.5
2019-06-20,236.0
2019-06-20,278.0
2019-06-20,230.5
2019-06-20,264.0
2019-06-20,205.5
2019-06-20,214.0
2019-06-20,278.0
2019-06-20,330.5
2019-06-20,255.5
2019-06-20,225.0
2019-06-20,242.0
2019-06-20,205.5
2019-06-20,289.0
2019-06-20,222.5
2019-06-20,217.0
2019-06-20,272.5
2019-06-20,242.0
2019-06-20,255.5
2019-06-20,180.5
2019-06-20,247.5
2019-06-20,175.0
2019-06-20,205.5
2019-06-20,289.0
2019-06-20,280.5
2019-06-20,253.0
2019-06-20,236.0
2019-06-20,253.0
2019-06-20,189.0
2019-06-20,250.0
2019-06-20,205.5
2019-06-20,255.5
2019-06-20,183.5
2019-06-20,280.5
2019-06-20,253.0
2019-06-20,253.0
2019-06-20,283.5
2019-06-20,228.0
2019-06-20,164.0
2019-06-20,225.0
2019-06-20,236.0
2019-06-20,244.5
2019-06-20,236.0
2019-06-20,178.0
2019-06-20,219.5
2019-06-20,283.5
2019-06-20,280.5
2019-06-20,294.5
2019-06-20,222.5
2019-06-20,230.5
2019-06-20,272.5
2019-06-20,278.0
2019-06-20,197.5
2019-06-20,219.5
2019-06-20,278.0
2019-06-20,225.0
2019-06-20,280.5
2019-06-20,222.5
2019-06-20,236.0
2019-06-20,283.5
2019-06-20,280.5
2019-06-20,225.0
2019-06-20,208.5
2019-06-20,200.0
2019-06-20,200.0
2019-06-20,244.5
2019-06-20,267.0
2019-06-20,214.0
2019-06-20,261.0
2019-06-20,230.5
2019-06-20,242.0
2019-06-20,297.5
2019-06-20,267.0
2019-06-20,230.5
2019-06-20,167.0
2019-06-20,250.0
2019-06-20,239.0
2019-06-20,194.5
2019-06-20,211.0
2019-06-20,211.0
2019-06-20,217.0
2019-06-20,253.0
2019-06-20,205.5
2019-06-20,244.5
2019-06-20,269.5
2019-06-20,272.5
2019-06-20,192.0
2019-06-20,253.0
2019-06-20,192.0
2019-06-20,189.0
2019-06-20,289.0
2019-06-20,219.5
2019-06-20,286.0
2019-06-20,269.5
2019-06-20,203.0
2019-06-20,278.0
2019-06-20,250.0
2019-06-20,211.0
2019-06-20,255.5
2019-06-20,283.5
2019-06-20,236.0
2019-06-20,244.5
2019-06-20,278.0
2019-06-20,203.0
2019-06-20,272.5
2019-06-20,267.0
2019-06-20,250.0
2019-06-20,200.0
2019-06-20,283.5
2019-06-20,219.5
2019-06-20,180.5
2019-06-20,239.0
2019-06-20,194.5
2019-06-20,164.0
2019-06-20,219.5
2019-06-20,197.5
2019-06-20,189.0
2019-06-20,200.0
2019-06-20,183.5
2019-06-20,208.5
2019-06-20,178.0
2019-06-20,278.0
2019-06-20,275.0
2019-06-20,239.0
2019-06-20,194.5
2019-06-20,217.0
2019-06-20,258.5
2019-06-20,225.0
2019-06-20,269.5
2019-06-20,286.0
2019-06-20,214.0
2019-06-20,250.0
2019-06-20,222.5
2019-06-20,214.0
2019-06-20,236.0
2019-06-20,269.5
2019-06-20,261.0
2019-06-20,267.0
2019-06-20,267.0
2019-06-20,303.0
2019-06-20,236.0
2019-06-20,236.0
2019-06-20,239.0
2019-06-20,280.5
2019-06-20,200.0
2019-06-20,197.5
2019-06-20,211.0
2019-06-20,236.0
2019-06-20,278.0
2019-06-20,228.0
2019-06-20,269.5
2019-06-20,197.5
2019-06-20,189.0
2019-06-20,269.5
2019-06-20,272.5
2019-06-20,244.5
2019-06-20,261.0
2019-06-20,272.5
2019-06-20,280.5
2019-06-20,239.0
2019-06-20,239.0
2019-06-20,239.0
2019-06-20,264.0
2019-06-20,264.0
2019-06-20,253.0
2019-06-20,233.5
2019-06-20,219.5
2019-06-20,217.0
2019-06-20,203.0
2019-06-20,219.5
2019-06-20,214.0
2019-06-20,208.5
2019-06-20,217.0
2019-06-20,208.5
2019-06-20,211.0
2019-06-20,211.0
2019-06-20,194.5
2019-06-20,236.0
2019-06-20,192.0
2019-06-20,219.5
2019-06-20,194.5
2019-06-20,247.5
2019-06-20,217.0
2019-06-20,208.5
2019-06-20,244.5
2019-06-20,200.0
2019-06-20,205.5
2019-06-20,203.0
2019-06-20,197.5
2019-06-20,172.5
2019-06-20,242.0
2019-06-20,178.0
2019-06-20,189.0
2019-06-20,217.0
2019-06-20,211.0
2019-06-20,214.0
2019-06-20,192.0
2019-06-20,169.5
2019-06-20,189.0
2019-06-20,200.0
2019-06-20,258.5
2019-06-20,175.0
2019-06-20,208.5
2019-06-20,230.5
2019-06-20,292.0
2019-06-20,197.5
2019-06-20,292.0
2019-06-20,208.5
2019-06-20,211.0
2019-06-20,244.5
2019-06-20,183.5
2019-06-20,239.0
2019-06-20,228.0
2019-06-20,211.0
2019-06-20,208.5
2019-06-20,228.0
2019-06-20,208.5
2019-06-20,183.5
2019-06-20,211.0
2019-06-20,205.5
2019-06-20,242.0
2019-06-20,169.5
2019-06-20,211.0
2019-06-20,153.0
2019-06-20,180.5
2019-06-20,236.0
2019-06-20,178.0
2019-06-20,197.5
2019-06-20,203.0
2019-06-20,258.5
2019-06-20,211.0
2019-06-20,222.5
2019-06-20,178.0
2019-06-20,233.5
2019-06-20,217.0
2019-06-20,178.0
2019-06-20,222.5
2019-06-20,250.0
2019-06-20,208.5
2019-06-20,219.5
2019-06-20,219.5
2019-06-20,183.5
2019-06-20,205.5
2019-06-20,225.0
2019-06-20,203.0
2019-06-20,242.0
2019-06-20,197.5
2019-06-20,211.0
2019-06-20,253.0
2019-06-20,258.5
2019-06-20,208.5
2019-06-20,228.0
2019-06-20,214.0
2019-06-20,205.5
2019-06-20,283.5
2019-06-20,255.5
2019-06-20,214.0
2019-06-20,261.0
2019-06-20,169.5
2019-06-20,208.5
2019-06-20,183.5
2019-06-20,200.0
2019-06-20,183.5
2019-06-20,233.5
2019-06-20,197.5
2019-06-20,197.5
2019-06-20,230.5
2019-06-20,203.0
2019-06-20,208.5
2019-06-20,200.0
2019-06-20,211.0
2019-06-20,222.5
2019-06-20,180.5
2019-06-20,230.5
2019-06-20,197.5
2019-06-20,228.0
2019-06-20,242.0
2019-06-20,253.0
2019-06-20,186.0
2019-06-20,230.5
2019-06-20,219.5
2019-06-20,230.5
2019-06-20,186.0
2019-06-20,197.5
2019-06-20,189.0
2019-06-20,200.0
2019-06-20,250.0
2019-06-20,236.0
2019-06-20,236.0
2019-06-20,208.5
2019-06-20,205.5
2019-06-20,205.5
2019-06-20,236.0
2019-06-20,247.5
2019-06-20,225.0
2019-06-20,217.0
2019-06-20,233.5
2019-06-20,178.0
2019-06-20,194.5
2019-06-20,186.0
2019-06-20,239.0
2019-06-20,250.0
2019-06-20,186.0
2019-06-20,217.0
2019-06-20,194.5
2019-06-20,194.5
2019-06-20,203.0
2019-06-20,208.5
2019-06-20,200.0
2019-06-20,186.0
2019-06-20,200.0
2019-06-20,211.0
2019-06-20,208.5
2019-06-20,272.5
2019-06-20,197.5
2019-06-20,239.0
2019-06-20,197.5
2019-06-20,250.0
2019-06-20,214.0
2019-06-20,161.0
2019-06-20,192.0
2019-06-20,225.0
2019-06-20,217.0
2019-06-20,192.0
2019-06-20,236.0
2019-06-20,225.0
2019-06-20,247.5
2019-06-20,214.0
2019-06-20,219.5
2019-06-20,250.0
2019-06-20,214.0
2019-06-20,180.5
2019-06-20,236.0
2019-06-20,186.0
2019-06-20,258.5
2019-06-20,219.5
2019-06-20,255.5
2019-06-20,258.5
2019-06-20,219.5
2019-06-20,228.0
2019-06-20,200.0
2019-06-20,203.0
2019-06-20,222.5
2019-06-20,214.0
2019-06-20,230.5
2019-06-20,186.0
2019-06-20,225.0
2019-06-20,214.0
2019-06-20,217.0
2019-06-20,203.0
2019-06-20,225.0
2019-06-20,203.0
2019-06-20,197.5
2019-06-20,239.0
2019-06-20,192.0
2019-06-20,208.5
2019-06-20,239.0
2019-06-20,250.0
2019-06-20,289.0
2019-06-20,222.5
2019-06-20,219.5
2019-06-20,197.5
2019-06-20,194.5
2019-06-20,192.0
2019-06-20,175.0
2019-06-20,230.5
2019-06-20,258.5
2019-06-20,244.5
2019-06-20,197.5
2019-06-20,230.5
2019-06-20,175.0
2019-06-20,194.5
2019-06-20,244.5
2019-06-20,189.0
2019-06-20,230.5
2019-06-20,217.0
2019-06-20,211.0
2019-06-20,158.5
2019-06-20,228.0
2019-06-20,233.5
2019-06-20,175.0
2019-06-20,200.0
2019-06-20,244.5
2019-06-20,217.0
